symbol,cluster,rank,config_id,pf_tr,n_tr,pf_fwd,n_fwd,pf_json
DOT,0,tail,2783627,1.1066534155588785,733,0.9650429702607911,387,1.999
DOT,1,top1,34569536,1.0083985778034552,556,0.8221448472590677,193,1.949
DOT,1,mid,36600896,0.9597956703084031,783,0.8889643616800117,285,1.648
DOT,1,tail,34569440,0.9091017625653914,603,0.8124310051407461,224,1.731
DOT,2,top1,5904985,0.5727956592225895,113,0.6192670865599332,55,2.771
DOT,2,mid,5904969,0.5749025403288391,113,0.6132096828277459,56,2.58
DOT,2,tail,4662113,0.6478524709438933,57,1.4274823202608156,37,3.42
LTC,0,top1,18398144,1.045809608301537,250,2.4047708296722656,102,1.6
LTC,0,mid,1157792,1.3940716650639022,291,1.6512132133626545,108,1.466
LTC,0,tail,17857280,1.2728618493390735,157,1.0100544223314962,80,1.772
LTC,1,top1,18119728,0.8902083238550729,1265,0.8777385763283014,714,1.815
LTC,1,mid,19381296,0.8727042200316524,1239,0.8921930927659004,696,1.757
LTC,1,tail,19299600,0.9359605090253431,1139,0.9868376223064017,641,1.817
LTC,2,top1,2517632,0.829864102982149,316,1.5950264771107594,159,1.88
LTC,2,mid,3156544,1.1727480598846611,254,1.6846770900056207,128,1.921
LTC,2,tail,2255376,0.856780361473731,296,1.4682617632757171,145,1.734
LINK,0,top1,338477,1.1729886114526555,155,1.4511537181518899,76,1.782
LINK,0,mid,336412,1.0187437575132643,141,1.3479471876961884,75,1.704
LINK,0,tail,41073052,0.8779295100796871,204,0.8399785214340433,87,2.044
LINK,1,top1,6792080,0.850443979584745,111,2.508975150432004,66,1.692
LINK,1,mid,14889746,1.2714521635494573,179,2.0298728302171556,124,1.697
LINK,1,tail,21246784,1.3680017655494088,107,1.9596351630769888,68,1.886
LINK,2,top1,50559616,1.0875284664210094,309,1.2025367541922358,166,2.147
LINK,2,mid,1014592,0.9732153879601174,165,1.1042736340582775,100,2.554
LINK,2,tail,949184,1.0327202907179087,163,1.2752847947499428,100,2.771
BCH,0,top1,38316608,0.9557232523220976,193,2.579907514563636,90,2.102
BCH,0,mid,34122253,1.0996408395334807,282,2.265817851858984,129,1.971
BCH,0,tail,34122255,1.087179486402084,266,2.2276849084299704,127,2.004
BCH,1,top1,18364896,0.9660656850679139,388,0.941821256602557,246,1.724
BCH,1,mid,1583424,0.8836759168328062,406,0.9281907723905994,262,1.686
BCH,1,tail,20773632,1.1797175162990279,236,0.862514378913428,140,2.245
BCH,2,top1,20992517,0.8585534968635995,67,1.4213622694527561,38,1.777
BCH,2,mid,34222901,1.421813045102414,229,1.5232929733789424,94,1.507
BCH,2,tail,49163012,1.102982669955607,217,1.9378845877522783,95,1.389
ATOM,0,top1,55095842,0.8564587747812222,358,0.8518234458156635,196,2.048
ATOM,0,mid,50606853,0.7448856067767664,136,0.658855242711918,78,3.144
ATOM,0,tail,23411712,0.9851355370053602,1198,0.8939942028593062,739,1.512
ATOM,1,top1,17920783,1.5108522885208409,171,4.454928128540364,65,2.147
ATOM,1,mid,18182927,1.498083760868329,181,3.2540617855820138,71,1.872
ATOM,1,tail,55409165,1.183261677889451,595,1.368614050714945,208,1.267
ATOM,2,top1,36088736,0.8833273515214811,269,1.1401813371131666,136,4.654
ATOM,2,mid,34548608,0.6748621240156322,217,1.5516106631934579,111,3.228
ATOM,2,tail,34581504,0.8433570970566647,2026,0.9469910823187664,1054,1.298
AVAX,0,top1,22429116,0.9619448486219279,1108,0.9982468417102507,379,1.767
AVAX,0,mid,35629342,1.1072321408762351,801,0.8932608618863668,313,2.098
AVAX,0,tail,41920796,1.114256559212185,793,0.8617989763693591,307,2.126
AVAX,1,top1,26792660,0.5599777092224191,118,1.101359769332289,56,3.663
AVAX,1,mid,29020884,0.5693301611797263,128,0.8461599645084785,61,3.045
AVAX,1,tail,33215446,0.6914993755877802,109,0.8205142789905064,57,2.825
AVAX,2,top1,34906840,1.4214411168540408,197,2.2700163889595015,107,2.043
AVAX,2,mid,57719453,1.122826958818885,380,1.7042796616768083,210,1.597
AVAX,2,tail,52214430,1.0430487478414572,373,1.2210173880350887,211,1.592
APT,0,top1,2473235,0.802533217641665,1486,0.9411680641659604,543,1.612
APT,0,mid,2735365,0.8039774370446198,1301,0.8837162442497745,504,1.628
APT,0,tail,2964741,0.7455370886161772,1239,0.9445352465395938,474,1.813
APT,1,top1,31447907,0.608840131832093,185,0.5428894072002408,81,3.126
APT,1,mid,31316835,0.6228178868908004,181,0.5443663344762871,80,3.038
APT,1,tail,23059266,0.5723990828229645,183,0.5452430408764709,79,2.967
APT,2,top1,52477067,1.0047144221967783,699,1.2195820373310167,468,1.407
APT,2,mid,40172040,1.439625205959813,271,1.4955600388686952,195,1.915
APT,2,tail,36567721,1.5670842171255055,280,1.441568456502598,190,1.873
ARB,0,top1,28947217,1.1851211786930171,310,1.1878278290181732,150,2.533
ARB,0,mid,15710631,0.9140201527002164,213,1.741972277642016,105,3.207
ARB,0,tail,20919169,1.079804697854587,313,1.3071619375305876,150,2.591
ARB,1,top1,59060778,1.6357985783677382,197,1.865169862905101,111,2.112
ARB,1,mid,63255087,1.554577808111653,204,1.8168967618904681,111,1.982
ARB,1,tail,38959642,1.6083742685398028,295,1.2379447480435124,158,1.918
ARB,2,top1,33958448,3.1337307576101865,54,4.182240879043842,27,4.795
ARB,2,mid,42412605,2.2074689004452943,69,2.8307952103808147,42,2.683
ARB,2,tail,37927828,1.8641435254893743,68,2.797355352520479,31,2.665
OP,0,top1,10599823,0.8741509204589469,664,0.9627368233853174,345,1.388
OP,0,mid,15056267,0.878044608717283,707,0.9640873534500133,359,1.316
OP,0,tail,8469903,0.8586204697328192,472,1.005345881228371,243,1.453
OP,1,top1,36024847,0.6252148869761696,243,0.6335791944460806,79,1.889
OP,1,mid,36023755,0.8123325726084657,340,0.6140305679450448,99,1.441
OP,1,tail,35794379,0.8085116600261497,272,0.6026180542509262,80,1.556
OP,2,top1,4258597,0.7111552737086134,218,0.785898220967154,148,3.191
OP,2,mid,28554021,0.8138489864754705,341,1.056385737492297,220,2.303
OP,2,tail,29618981,0.802811244633204,328,0.9260921123862992,211,2.171
NEAR,0,top1,19690392,1.2615452721678908,238,1.1215136060826167,98,2.146
NEAR,0,mid,23607950,0.7912321439935766,349,1.5253551419908746,165,1.644
NEAR,0,tail,17707579,0.8897714530138188,363,1.3761776118078346,156,1.75
NEAR,1,top1,3586830,0.9933209801820384,322,0.8930637341764344,169,1.778
NEAR,1,mid,3341771,0.8437608776993831,895,1.1662621057072864,541,1.388
NEAR,1,tail,4111118,1.0538143884007711,361,0.898440381076619,207,1.765
NEAR,2,top1,8239616,1.0092174065379467,642,0.9998806273811204,277,1.451
NEAR,2,mid,30538283,0.6211835450747714,347,0.8558184330982742,157,1.478
NEAR,2,tail,8141312,1.0277816998333282,582,1.1377919933906386,248,1.338
FIL,0,top1,4149789,1.0906492305371653,211,0.9325648410392537,93,2.276
FIL,0,mid,34368512,1.0735686526756443,868,1.026363554889744,395,2.062
FIL,0,tail,36191232,0.9929142919346634,931,0.8970344916119983,433,1.745
