series,kind,ma_type,fast,slow,hyst,pf,ci_low,ci_high,trades
PLBSH2,SHUF,KAMA,8,40,0.0,0.9677,0.8154,1.1438,636
PLBSH2,SHUF,KAMA,8,40,0.5,0.9235,0.7462,1.1232,475
PLBSH2,SHUF,KAMA,10,55,0.0,0.9533,0.7876,1.138,524
PLBSH2,SHUF,KAMA,10,55,0.5,0.9462,0.7661,1.1499,445
PLBSH2,SHUF,KAMA,12,60,0.0,0.9401,0.7789,1.1203,522
PLBSH2,SHUF,KAMA,12,60,0.5,0.9391,0.7509,1.1506,426
PLBSH2,SHUF,VIDYA,8,40,0.0,0.8734,0.6307,1.1681,281
PLBSH2,SHUF,VIDYA,8,40,0.5,1.025,0.7624,1.3534,246
PLBSH2,SHUF,VIDYA,10,55,0.0,0.7275,0.5113,0.9914,267
PLBSH2,SHUF,VIDYA,10,55,0.5,0.8019,0.5697,1.0887,240
PLBSH2,SHUF,VIDYA,12,60,0.0,0.87,0.5966,1.1767,232
PLBSH2,SHUF,VIDYA,12,60,0.5,1.0985,0.7648,1.5222,186
PLBSH2,SHUF,FRAMA,8,40,0.0,1.0107,0.9273,1.1106,1953
PLBSH2,SHUF,FRAMA,8,40,0.5,1.0872,0.9518,1.251,813
PLBSH2,SHUF,FRAMA,10,55,0.0,0.9512,0.8713,1.0504,1694
PLBSH2,SHUF,FRAMA,10,55,0.5,1.0017,0.8679,1.1575,772
PLBSH2,SHUF,FRAMA,12,60,0.0,0.9954,0.9021,1.0907,1751
PLBSH2,SHUF,FRAMA,12,60,0.5,1.0228,0.8962,1.1762,813
PLBSH2,SHUF,TEMA,8,40,0.0,0.918,0.8404,1.0084,2133
PLBSH2,SHUF,TEMA,8,40,0.5,0.9738,0.8723,1.0958,1214
PLBSH2,SHUF,TEMA,10,55,0.0,0.9258,0.8367,1.0237,1672
PLBSH2,SHUF,TEMA,10,55,0.5,0.9297,0.8315,1.0573,1038
PLBSH2,SHUF,TEMA,12,60,0.0,0.9056,0.8143,1.0123,1490
PLBSH2,SHUF,TEMA,12,60,0.5,0.9048,0.8058,1.0347,967
PLBSH2,SHUF,DEMA,8,40,0.0,0.9214,0.8325,1.0274,1602
PLBSH2,SHUF,DEMA,8,40,0.5,0.9801,0.8612,1.1213,903
PLBSH2,SHUF,DEMA,10,55,0.0,1.0205,0.9167,1.1573,1169
PLBSH2,SHUF,DEMA,10,55,0.5,1.0497,0.9047,1.2181,733
PLBSH2,SHUF,DEMA,12,60,0.0,1.0737,0.9414,1.223,1015
PLBSH2,SHUF,DEMA,12,60,0.5,0.9845,0.8369,1.1501,683
PLBSH2,SHUF,T3,8,40,0.0,1.0354,0.8967,1.202,766
PLBSH2,SHUF,T3,8,40,0.5,0.9627,0.8204,1.1293,684
PLBSH2,SHUF,T3,10,55,0.0,0.8844,0.7602,1.035,663
PLBSH2,SHUF,T3,10,55,0.5,0.9456,0.7998,1.1172,590
PLBSH2,SHUF,T3,12,60,0.0,0.9418,0.8037,1.1105,624
PLBSH2,SHUF,T3,12,60,0.5,0.9999,0.8339,1.1872,555
PLBSH2,SHUF,Tenkan,8,40,0.0,0.9046,0.7916,1.0372,937
PLBSH2,SHUF,Tenkan,8,40,0.5,0.9164,0.7871,1.0603,786
PLBSH2,SHUF,Tenkan,10,55,0.0,0.9169,0.7848,1.0689,750
PLBSH2,SHUF,Tenkan,10,55,0.5,0.9234,0.7871,1.0896,629
PLBSH2,SHUF,Tenkan,12,60,0.0,0.9106,0.779,1.0685,701
PLBSH2,SHUF,Tenkan,12,60,0.5,0.9043,0.7597,1.0661,614
PLBSH2,SHUF,ALMA,8,40,0.0,0.9622,0.8736,1.0613,1939
PLBSH2,SHUF,ALMA,8,40,0.5,0.985,0.882,1.1179,1084
PLBSH2,SHUF,ALMA,10,55,0.0,0.974,0.8783,1.0925,1463
PLBSH2,SHUF,ALMA,10,55,0.5,0.9902,0.8647,1.133,928
PLBSH2,SHUF,ALMA,12,60,0.0,0.9825,0.8821,1.1049,1293
PLBSH2,SHUF,ALMA,12,60,0.5,0.9929,0.8606,1.1444,855
PLBSH2,SHUF,McGinley,8,40,0.0,0.9882,0.8307,1.1607,727
PLBSH2,SHUF,McGinley,8,40,0.5,0.9258,0.7592,1.1233,491
PLBSH2,SHUF,McGinley,10,55,0.0,0.9718,0.7999,1.153,565
PLBSH2,SHUF,McGinley,10,55,0.5,0.8898,0.7178,1.0832,455
PLBSH2,SHUF,McGinley,12,60,0.0,0.8964,0.7288,1.082,533
PLBSH2,SHUF,McGinley,12,60,0.5,0.8537,0.6801,1.0482,430
PLBSH2,SHUF,VWMA,8,40,0.0,1.0265,0.898,1.1721,958
