symbol,side,entry_T,exit_T,entry_price,exit_price,pnl_pct,reason_exit,k_entry,cfg,gen
POL,long,2026-06-02 04:00:00+00:00,2026-06-02 05:00:00+00:00,0.0936,0.09276,-0.8974,cancel_tf,1,30437930,G2
ONDO,short,2026-06-02 08:00:00+00:00,2026-06-02 09:00:00+00:00,0.3542,0.3556,-0.3953,tf_exit,2,29980978,G2
RENDER,short,2026-06-02 08:00:00+00:00,2026-06-02 09:00:00+00:00,2.16,2.164,-0.1852,low_confidence,2,53034048,G2
ONDO,short,2026-06-02 12:00:00+00:00,2026-06-02 13:00:00+00:00,0.3594,0.3726,-3.6728,sl_hit,2,29980978,G2
BTC,short,2026-06-01 19:00:00+00:00,2026-06-02 23:00:00+00:00,71498.64,66385.2,7.1518,div_exit,0,33831198,G1
RENDER,long,2026-06-03 01:00:00+00:00,2026-06-03 02:00:00+00:00,2.088,2.14,2.4904,zone_exit,2,53034048,G2
BTC,short,2026-06-03 01:00:00+00:00,2026-06-03 11:00:00+00:00,66938.01,67294.51,-0.5326,div_exit,0,33831198,G1
BTC,short,2026-06-03 12:00:00+00:00,2026-06-03 13:00:00+00:00,67067.37,67078.72,-0.0169,low_confidence,0,33831198,G1
ONDO,short,2026-06-03 20:00:00+00:00,2026-06-04 00:00:00+00:00,0.4228,0.4138,2.1287,low_confidence,1,47741459,G2
ONDO,short,2026-06-04 02:00:00+00:00,2026-06-04 03:00:00+00:00,0.3947,0.403,-2.1029,low_confidence,1,47741459,G2
RENDER,short,2026-06-03 22:00:00+00:00,2026-06-04 06:00:00+00:00,2.217,1.994,10.0586,low_confidence,2,53034048,G2
RENDER,short,2026-06-04 09:00:00+00:00,2026-06-04 16:00:00+00:00,1.906,1.99,-4.4071,sl_hit,2,53034048,G2
RENDER,short,2026-06-04 22:00:00+00:00,2026-06-05 08:00:00+00:00,1.861,1.752,5.8571,zone_exit,2,53034048,G2
ONDO,long,2026-06-05 09:00:00+00:00,2026-06-05 10:00:00+00:00,0.3553,0.3566,0.3659,tf_exit,1,47741459,G2
RENDER,short,2026-06-05 09:00:00+00:00,2026-06-05 10:00:00+00:00,1.711,1.753,-2.4547,zone_exit,2,53034048,G2
ONDO,long,2026-06-05 13:00:00+00:00,2026-06-05 16:00:00+00:00,0.3537,0.336015,-5.0,sl_emergency,1,47741459,G2
RENDER,short,2026-06-05 11:00:00+00:00,2026-06-06 04:00:00+00:00,1.721,1.621,5.8106,zone_exit,2,53034048,G2
RENDER,short,2026-06-06 05:00:00+00:00,2026-06-06 06:00:00+00:00,1.569,1.62,-3.2505,sl_hit,2,53034048,G2
ONDO,long,2026-06-07 02:00:00+00:00,2026-06-07 04:00:00+00:00,0.3391,0.3336,-1.6219,tf_exit,1,47741459,G2
RENDER,long,2026-06-07 01:00:00+00:00,2026-06-07 19:00:00+00:00,1.606,1.649,2.6775,div_exit,2,53034048,G2
ONDO,short,2026-06-07 23:00:00+00:00,2026-06-08 01:00:00+00:00,0.3427,0.3521,-2.7429,sl_hit,1,47741459,G2
ADA,long,2026-06-07 22:00:00+00:00,2026-06-08 03:00:00+00:00,0.1608,0.1635,1.6791,zone_exit,0,19362655,G3
ONDO,short,2026-06-08 03:00:00+00:00,2026-06-08 07:00:00+00:00,0.3484,0.3568,-2.411,sl_hit,1,47741459,G2
RENDER,long,2026-06-07 20:00:00+00:00,2026-06-08 11:00:00+00:00,1.61,1.661,3.1677,div_exit,2,53034048,G2
ONDO,short,2026-06-09 01:00:00+00:00,2026-06-09 02:00:00+00:00,0.3549,0.3571,-0.6199,regime_change,1,47741459,G2
ONDO,short,2026-06-09 04:00:00+00:00,2026-06-09 05:00:00+00:00,0.3558,0.3643,-2.389,low_confidence,1,47741459,G2
ONDO,short,2026-06-09 11:00:00+00:00,2026-06-09 12:00:00+00:00,0.3648,0.3609,1.0691,regime_change,1,47741459,G2
ONDO,short,2026-06-09 14:00:00+00:00,2026-06-09 15:00:00+00:00,0.3658,0.3612,1.2575,regime_change,1,47741459,G2
ONDO,short,2026-06-09 16:00:00+00:00,2026-06-09 17:00:00+00:00,0.3566,0.3515,1.4302,regime_change,1,47741459,G2
ONDO,short,2026-06-09 19:00:00+00:00,2026-06-09 20:00:00+00:00,0.3625,0.3613,0.331,regime_change,1,47741459,G2
ONDO,short,2026-06-09 22:00:00+00:00,2026-06-09 23:00:00+00:00,0.3583,0.3569,0.3907,regime_change,1,47741459,G2
ONDO,short,2026-06-10 03:00:00+00:00,2026-06-10 08:00:00+00:00,0.3516,0.3489,0.7679,tf_exit,2,29980978,G2
ONDO,short,2026-06-10 10:00:00+00:00,2026-06-10 11:00:00+00:00,0.345,0.3449,0.029,div_exit,2,29980978,G2
ONDO,short,2026-06-10 12:00:00+00:00,2026-06-10 13:00:00+00:00,0.3408,0.3495,-2.5528,tf_exit,2,29980978,G2
ONDO,long,2026-06-10 15:00:00+00:00,2026-06-10 16:00:00+00:00,0.3536,0.3535,-0.0283,tf_exit,2,29980978,G2
TAO,long,2026-06-10 19:00:00+00:00,2026-06-10 20:00:00+00:00,205.2,202.3,-1.4133,div_exit,1,20617216,G2
TAO,long,2026-06-10 21:00:00+00:00,2026-06-10 22:00:00+00:00,201.5,198.7,-1.3896,div_exit,1,20617216,G2
TAO,long,2026-06-10 23:00:00+00:00,2026-06-11 11:00:00+00:00,199.7,208.4,4.3565,low_confidence,1,20617216,G2
ONDO,long,2026-06-11 22:00:00+00:00,2026-06-12 00:00:00+00:00,0.365,0.3658,0.2192,tf_exit,2,29980978,G2
ONDO,long,2026-06-12 03:00:00+00:00,2026-06-12 06:00:00+00:00,0.367,0.3586,-2.2888,sl_hit,2,29980978,G2
TRX,short,2026-06-11 17:00:00+00:00,2026-06-12 18:00:00+00:00,0.3157,0.3146,0.3484,div_exit,0,50854496,G1
TAO,long,2026-06-11 12:00:00+00:00,OPEN_END,209.7,,0.0,open_at_end,1,20617216,G2
